city,count,mean,longitude,latitude
Saint Michaels,13.0,3.19,-76.22,38.78
Murphysboro,40.0,3.19,-89.33,37.78
Carpinteria,91.0,3.18,-119.52,34.4
Toms River,28.0,3.17,-74.19,39.96
McKinleyville,100.0,3.12,-124.1,40.93
Cape Canaveral,496.0,3.09,-80.61,28.4
Hayward,1257.0,3.08,-91.49,46.01
Monroe,1341.0,2.91,-89.64,42.6
La Crosse,409.0,2.73,-91.25,43.8
Osseo,60.0,2.67,-91.23,44.58
Saint Louis,15344.0,2.58,-90.3,38.74
Big Bear Lake,18.0,2.32,-116.92,34.24
Dummy row,,,,
