reviewer,corr_variable,corr
emerge077,review_taste,0.6607907429890678
johnmichaelsen,review_aroma,0.4972090490383046
johnmichaelsen,review_appearance,0.40531133298984023
johnmichaelsen,review_palate,0.6014242593978346
johnmichaelsen,review_taste,0.6689124668599901
tavernjef,review_aroma,0.516557129941766
tavernjef,review_appearance,0.3435175695182763
tavernjef,review_palate,0.613486985811099
tavernjef,review_taste,0.7261982716645581
tpd975,review_aroma,0.5626120325718582
tpd975,review_appearance,0.4017214045412838
tpd975,review_palate,0.584975767675836
tpd975,review_taste,0.7189610669713677
atsprings,review_aroma,0.5741664469441206
atsprings,review_appearance,0.393876324152012
atsprings,review_palate,0.700241810933703
atsprings,review_taste,0.8037339756819466
ffejherb,review_aroma,0.6736312014646627
ffejherb,review_appearance,0.5033095708219123
ffejherb,review_palate,0.6676598813733443
ffejherb,review_taste,0.8541466204322383
rhoadsrage,review_aroma,0.7727752658215263
rhoadsrage,review_appearance,0.625636213006154
rhoadsrage,review_palate,0.7491377744093697
rhoadsrage,review_taste,0.8483462982895968
Knapp85,review_aroma,0.7882204929131102
Knapp85,review_appearance,0.7745341422437771
Knapp85,review_palate,0.8462779630931002
Knapp85,review_taste,0.8659976106452234
emmasdad,review_aroma,0.5451024498643452
emmasdad,review_appearance,0.40484033944284226
emmasdad,review_palate,0.5858134253761356
emmasdad,review_taste,0.7272658700109693
AgentZero,review_aroma,0.6055741139879218
AgentZero,review_appearance,0.29240707156714907
AgentZero,review_palate,0.5298343894741335
AgentZero,review_taste,0.8038531592473579
ZAP,review_aroma,0.6839440453523794
ZAP,review_appearance,0.6405850201019079
ZAP,review_palate,0.8571866503705314
ZAP,review_taste,0.9173892453841175
